Model,Accuracy,F1,Hamming_loss,AUC_ROC
Logistic Regression,0.14226231783483692,0.5558591866259444,0.09587092297015962,0.8272474446170401
Logistic Regression_binary_class,0.8401804302567661,0.8401804302567661,0.15981956974323389,0.8385451913190254
Label Powerset,0.14226231783483692,0.5225143547899668,0.09587092297015962,0.8272474446170401
Classifier Chain,0.033310201249132546,0.41302720239580737,0.16321998612074948,0.7526159828831087
One vs. Rest (LR),0.8909090909090909,0.4041995637332792,0.10909090909090909,0.6838326719758548
One vs. Rest(LSVC),0.9043025676613462,0.9043025676613462,0.09569743233865373,0.6196523515231632
Binary Relevance,0.07009021512838307,0.3645356292361238,0.1203678001387925,0.5407324718472795
